assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,0,0,98770,None,,0,0,0,0,0.0,500,22,None,,0,1,0.0,0.0,0,Ørjan,0.0,0,0,0.0,530,48,35,False,0.0,521,49,0,Contract terminated on 5/10,2020-10-05T21:00:11.316167Z,40,0,0,None,0,,98770.jpg,0.0,0,0,Nyland,3.4,False,None,u,2,7,0.0,477,18,0,145134,0,948720,992,0.0,0.0,Nyland,0
0,0,0,100,100,0,108156,None,,0,0,-1,1,0.0,579,231,None,,0,2,0.0,-0.5,0,Bjorn,0.0,0,0,0.0,601,230,36,False,0.0,592,230,0,,2020-11-19T11:00:18.103635Z,44,0,0,None,0,,108156.jpg,0.0,0,0,Engels,0.1,False,None,a,2,7,0.0,563,226,0,12251,26,19480,24,0.0,0.0,Engels,0
12,13,497,100,50,12,114283,3,,0,0,5,-5,964.5,9,6,2,,2,3,0.2,0.0,1,Jack,0.2,24,6,250.7,11,8,37,False,673.6,39,13,1995,,2021-02-21T17:00:26.185544Z,75,0,0,2,0,,114283.jpg,5.7,0,0,Grealish,14.3,False,None,a,2,7,871.0,23,10,130,5412534,19231,5347263,7737,0.0,17.3,Grealish,6
7,2,459,None,None,14,122806,None,,0,0,0,0,564.8,38,29,None,,0,3,2.8,5.1,3,John,2.8,41,2,141.9,66,38,38,False,513.8,93,30,3060,,None,55,0,0,None,0,,122806.jpg,3.1,0,0,McGinn,1.1,False,None,a,2,7,340.0,102,59,106,373185,814,345657,1984,0.5,19.3,McGinn,9
0,3,89,100,100,3,123354,None,,0,0,-1,1,1.5,445,174,None,,1,2,0.0,-0.5,0,Kortney,0.0,1,1,14.2,394,143,39,False,91.0,369,142,360,,2021-01-26T11:00:18.448973Z,44,0,0,None,0,,123354.jpg,7.0,0,0,Hause,0.1,False,None,a,2,7,49.0,342,119,28,80716,42,80452,109,0.0,6.4,Hause,1
1,3,152,0,0,6,148508,None,,0,0,-3,3,180.1,198,121,None,,1,3,0.0,0.0,0,Mahmoud Ahmed,0.0,14,2,86.7,165,90,40,False,213.6,277,117,1157,Knee injury - Unknown return date,2021-04-10T19:30:20.757046Z,52,0,0,None,0,,148508.jpg,2.7,0,0,Ibrahim Hassan,0.4,False,None,i,2,7,478.0,63,34,56,68664,29,142042,256,0.0,10.8,Trézéguet,0
2,8,606,100,100,14,149484,None,,0,0,4,-4,97.2,262,71,None,,2,2,1.8,3.1,7,Tyrone,1.8,40,2,114.5,94,18,41,False,750.6,20,3,3014,,2020-12-26T17:00:15.486559Z,54,1,0,None,0,,149484.jpg,3.6,1,0,Mings,8.6,False,None,a,2,7,293.0,123,14,124,1690918,10705,1282306,6552,0.3,23.0,Mings,4
3,9,666,None,None,16,169359,None,,0,0,5,-5,549.7,41,9,6,,2,2,2.4,4.3,8,Matt,2.4,39,0,128.6,76,12,42,False,617.6,57,17,3134,,None,50,0,0,None,0,,169359.jpg,3.7,0,0,Targett,13.0,False,None,a,2,7,116.0,253,75,130,1829200,19028,895926,15831,0.5,26.0,Targett,7
0,0,0,0,0,0,184386,None,,0,0,0,0,0.0,608,234,None,,0,2,0.0,0.0,0,James,0.0,0,0,0.0,625,233,43,False,0.0,617,233,0,Joined Luton Town on a permanent deal on 1/9,2020-09-02T09:00:10.425295Z,45,0,0,None,0,,184386.jpg,0.0,0,0,Bree,0.0,False,None,u,2,7,0.0,594,229,0,9840,0,10322,0,0.0,0.0,Bree,0
0,0,81,None,None,4,184704,None,,0,0,-2,2,30.8,363,182,None,,0,3,0.4,0.3,0,Marvelous,0.4,4,0,11.6,405,178,44,False,74.6,382,162,569,,None,43,0,0,None,0,,184704.jpg,1.8,0,0,Nakamba,0.4,False,None,a,2,7,10.0,403,186,20,85092,98,100304,281,0.1,4.7,Nakamba,2
