first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
Danny,Rose,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,47
Moussa,Sissoko,0,0,13,482,6,36.0,64.4,0.0,0,73,10.0,2,0,0,0.4,48
Toby,Alderweireld,0,0,20,450,5,26.2,109.2,19.0,3,93,15.5,2,0,0,1.8,54
Erik,Lamela,0,1,8,187,4,33.3,23.8,95.0,0,30,14.9,0,0,1,0.1,58
Harry,Kane,7,8,80,713,8,213.7,451.2,476.0,12,303,114.2,2,0,0,45.1,110
Serge,Aurier,1,1,13,180,4,30.0,94.2,60.0,1,60,18.4,0,0,0,1.7,52
Heung-Min,Son,8,2,74,640,5,250.2,366.2,346.0,10,244,96.4,3,0,0,57.3,95
Eric,Dier,0,0,21,630,6,4.4,129.4,6.0,0,114,14.1,2,0,0,1.3,49
Lucas,Rodrigues Moura da Silva,1,0,17,351,5,41.5,49.0,121.0,1,35,21.1,1,0,0,1.4,68
Paulo,Gazzaniga,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,44
Bamidele,Alli,0,0,2,66,0,13.7,9.4,25.0,0,8,4.8,0,0,0,0.6,74
Ben,Davies,0,1,16,382,4,54.7,49.6,46.0,0,71,15.0,1,0,0,1.0,48
Pierre-Emile,Højbjerg,0,1,20,720,9,86.7,149.8,11.0,0,110,24.8,2,0,1,0.8,49
Harry,Winks,0,0,5,256,7,20.4,35.0,0.0,0,36,5.5,0,0,1,0.1,53
Davinson,Sánchez,0,0,4,360,7,2.1,55.0,86.0,0,37,14.3,0,0,0,0.8,54
Ryan,Sessegnon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,47
Steven,Bergwijn,0,0,6,152,2,34.6,11.4,22.0,0,12,6.8,1,0,0,0.3,71
Gedson,Carvalho Fernandes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,48
Japhet,Tanganga,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49
