,actual_points,gameweek,name,points,pos,team_code,total_points_gw,type,value
176,0,20,BarryDouglas,-0.005393437708901011,2.0,2,48.0,sub,3.8
177,0,20,ChristianWalton,-0.018196688704993025,1.0,36,48.0,sub,4.0
178,0,20,DaleStephens,0.06265808928893035,3.0,90,48.0,sub,4.3
179,0,20,JimmyDunne,0.4334154923610392,2.0,90,48.0,sub,3.8
180,3,21,BrunoMiguelBorgesFernandes,7.499647743024992,3.0,1,74.0,player,11.4
181,10,21,EmilianoMartínez,5.63048890126046,1.0,7,74.0,player,5.1
182,0,21,HarryKane,18.513144402522347,4.0,6,74.0,player,11.1
183,6,21,JackGrealish,7.561900882092535,3.0,7,74.0,player,7.8
184,0,21,JoãoPedroCavacoCancelo,4.960306345683655,2.0,43,74.0,player,6.0
185,15,21,MohamedSalah,7.294369160805104,3.0,14,74.0,player,12.6
186,2,21,OllieWatkins,16.93039574128035,4.0,7,74.0,player,6.3
187,15,21,PatrickBamford,15.24775034093472,4.0,2,74.0,player,6.6
188,2,21,PedroLombaNeto,4.658610845833829,3.0,39,74.0,player,5.8
189,8,21,RúbenSantosGatoAlvesDias,5.140380927847849,2.0,43,74.0,player,6.0
190,7,21,StuartDallas,4.039558730957802,2.0,2,74.0,player,4.8
191,2,21,AdemolaLookman,4.528324797232004,3.0,54,74.0,sub,5.0
192,3,21,AlexMcCarthy,4.085509434692237,1.0,20,74.0,sub,4.6
193,0,21,KyleWalkerPeters,3.608510277667434,2.0,20,74.0,sub,4.7
194,1,21,LukeAyling,3.801344194738904,2.0,2,74.0,sub,4.5
195,17,22,BrunoMiguelBorgesFernandes,7.808242100354072,3.0,1,74.0,player,11.4
196,9,22,DominicCalvertLewin,16.072673250608993,4.0,11,74.0,player,7.6
197,4,22,EmilianoMartínez,5.531963099750524,1.0,7,74.0,player,5.2
198,0,22,HarryKane,17.819930209554734,4.0,6,74.0,player,11.0
199,6,22,JackGrealish,7.474540299465451,3.0,7,74.0,player,7.8
200,6,22,JoãoPedroCavacoCancelo,5.093304563797644,2.0,43,74.0,player,6.0
201,2,22,MohamedSalah,7.167172486702155,3.0,14,74.0,player,12.7
202,6,22,OllieWatkins,16.915754888028474,4.0,7,74.0,player,6.3
203,9,22,RaphaelDiasBelloli,4.655141044598065,3.0,2,74.0,player,5.3
204,6,22,RúbenSantosGatoAlvesDias,5.1853969953198185,2.0,43,74.0,player,6.1
205,1,22,StuartDallas,3.981116522679984,2.0,2,74.0,player,4.8
206,6,22,AdamWebster,3.1826490135223904,2.0,36,74.0,sub,4.4
207,2,22,AdemolaLookman,4.410703192279816,3.0,54,74.0,sub,5.0
208,0,22,AlexMcCarthy,3.9987007671452126,1.0,20,74.0,sub,4.6
209,0,22,LukeAyling,3.819381215363032,2.0,2,74.0,sub,4.4
210,7,23,BrunoMiguelBorgesFernandes,7.7821567930423345,3.0,1,102.0,player,11.5
211,12,23,DominicCalvertLewin,16.146433931605454,4.0,11,102.0,player,7.7
212,9,23,EmilianoMartínez,5.628319634942371,1.0,7,102.0,player,5.2
213,8,23,HarryKane,18.17838139100515,4.0,6,102.0,player,11.0
214,2,23,JackGrealish,7.3737172656505585,3.0,7,102.0,player,7.8
215,2,23,JoãoPedroCavacoCancelo,4.914925653578525,2.0,43,102.0,player,6.0
216,8,23,MasonMount,5.150620070909756,3.0,8,102.0,player,6.8
217,7,23,MohamedSalah,7.091267609476093,3.0,14,102.0,player,12.7
218,9,23,OllieWatkins,16.954136944716275,4.0,7,102.0,player,6.4
219,1,23,RúbenSantosGatoAlvesDias,4.9744487600581815,2.0,43,102.0,player,6.1
220,12,23,StuartDallas,4.206562792204085,2.0,2,102.0,player,4.8
221,3,23,AdemolaLookman,4.436197102051223,3.0,54,102.0,sub,5.0
222,10,23,IllanMeslier,4.379258157934596,1.0,2,102.0,sub,4.7
223,6,23,LukeAyling,4.022068567406121,2.0,2,102.0,sub,4.4
224,6,23,TosinAdarabioyo,3.1547785371624397,2.0,54,102.0,sub,4.5
225,9,24,BrunoMiguelBorgesFernandes,7.7172241818612575,3.0,1,55.0,player,11.5
226,12,24,EmilianoMartínez,5.849184415335503,1.0,7,55.0,player,5.3
227,2,24,HarryKane,17.682982037057073,4.0,6,55.0,player,11.0
228,2,24,JackGrealish,7.098105227196307,3.0,7,55.0,player,7.8
229,6,24,JoãoPedroCavacoCancelo,4.983807633971684,2.0,43,55.0,player,6.1
230,3,24,MasonMount,5.1867844206722085,3.0,8,55.0,player,6.8
231,7,24,MohamedSalah,7.101689516819446,3.0,14,55.0,player,12.6
232,2,24,OllieWatkins,16.285683727491268,4.0,7,55.0,player,6.5
233,2,24,PatrickBamford,15.223792183831927,4.0,2,55.0,player,6.9
234,0,24,RúbenSantosGatoAlvesDias,4.6195863810273865,2.0,43,55.0,player,6.1
235,-1,24,StuartDallas,4.101803352411247,2.0,2,55.0,player,4.9
236,3,24,AdemolaLookman,4.338389517102287,3.0,54,55.0,sub,5.0
237,2,24,BerndLeno,3.8057451981450017,1.0,3,55.0,sub,5.0
238,0,24,LukeAyling,3.8890905892278864,2.0,2,55.0,sub,4.4
239,6,24,VladimirCoufal,3.7837611362528847,2.0,21,55.0,sub,4.7
240,12,25,BrunoMiguelBorgesFernandes,7.758783198152551,3.0,1,40.0,player,11.6
241,2,25,EmilianoMartínez,5.674157527716536,1.0,7,40.0,player,5.3
242,2,25,HarryKane,17.544752751128385,4.0,6,40.0,player,11.1
243,5,25,JoãoPedroCavacoCancelo,5.07394099962443,2.0,43,40.0,player,6.1
244,1,25,MattTargett,4.5596894671527055,2.0,7,40.0,player,4.9
245,2,25,MohamedSalah,7.037326073430531,3.0,14,40.0,player,12.6
246,2,25,OllieWatkins,16.062841159405238,4.0,7,40.0,player,6.5
247,2,25,PatrickBamford,14.966502128654561,4.0,2,40.0,player,6.9
248,4,25,RaphaelDiasBelloli,5.223729352540102,3.0,2,40.0,player,5.4
249,7,25,RúbenSantosGatoAlvesDias,4.699307169702182,2.0,43,40.0,player,6.1
250,1,25,SadioMané,6.014437939459054,3.0,14,40.0,player,11.8
251,0,25,DaleStephens,0.0011217252643270117,3.0,90,40.0,sub,4.2
252,0,25,FabricioAgostoRamírez,-0.0215379376348791,1.0,54,40.0,sub,3.9
253,0,25,JimmyDunne,0.3502313794367617,2.0,90,40.0,sub,3.8
254,0,25,NathanFerguson,0.004453904237579384,2.0,31,40.0,sub,3.8
255,3,26,BrunoMiguelBorgesFernandes,7.758783198152551,3.0,1,50.0,player,11.6
256,10,26,EmilianoMartínez,5.674157527716536,1.0,7,50.0,player,5.3
257,6,26,HarryKane,17.544752751128385,4.0,6,50.0,player,11.1
258,0,26,JoãoPedroCavacoCancelo,5.07394099962443,2.0,43,50.0,player,6.1
259,5,26,MattTargett,4.5596894671527055,2.0,7,50.0,player,4.9
260,3,26,MohamedSalah,7.037326073430531,3.0,14,50.0,player,12.6
261,5,26,OllieWatkins,16.062841159405238,4.0,7,50.0,player,6.5
262,2,26,PatrickBamford,14.966502128654561,4.0,2,50.0,player,6.9
263,2,26,RaphaelDiasBelloli,5.223729352540102,3.0,2,50.0,player,5.4
264,10,26,RúbenSantosGatoAlvesDias,4.699307169702182,2.0,43,50.0,player,6.1
265,3,26,SadioMané,6.014437939459054,3.0,14,50.0,player,11.8
266,1,26,DaleStephens,0.0011217252643270117,3.0,90,50.0,sub,4.2
267,0,26,FabricioAgostoRamírez,-0.0215379376348791,1.0,54,50.0,sub,3.9
268,0,26,JimmyDunne,0.3502313794367617,2.0,90,50.0,sub,3.8
269,0,26,NathanFerguson,0.004453904237579384,2.0,31,50.0,sub,3.8
270,10,27,BrunoMiguelBorgesFernandes,7.418094273504258,3.0,1,53.0,player,11.5
271,7,27,EmilianoMartínez,5.687896266375272,1.0,7,53.0,player,5.4
272,19,27,HarryKane,18.336173286859555,4.0,6,53.0,player,11.3
273,1,27,JoãoPedroCavacoCancelo,4.613035987490235,2.0,43,53.0,player,6.2
274,6,27,MattTargett,4.552300947205107,2.0,7,53.0,player,5.0
275,2,27,MohamedSalah,6.768151276760692,3.0,14,53.0,player,12.5
276,2,27,OllieWatkins,15.690439999804099,4.0,7,53.0,player,6.6
277,2,27,PatrickBamford,14.432583196421625,4.0,2,53.0,player,6.8
278,2,27,RaphaelDiasBelloli,5.26155370769935,3.0,2,53.0,player,5.5
279,1,27,RúbenSantosGatoAlvesDias,4.330184568279097,2.0,43,53.0,player,6.1
280,1,27,SadioMané,5.6582973897446,3.0,14,53.0,player,11.8
281,0,27,DaleStephens,-0.011649173085266806,3.0,90,53.0,sub,4.2
282,0,27,DavidButton,0.03279694255492216,1.0,35,53.0,sub,3.9
283,0,27,JimmyDunne,0.3220081982660248,2.0,90,53.0,sub,3.8
284,0,27,NathanFerguson,0.004453904237579384,2.0,31,53.0,sub,3.8
285,2,28,AaronCresswell,4.082340671978081,2.0,21,62.0,player,5.9
286,2,28,AdemolaLookman,4.597153616496077,3.0,54,62.0,player,5.1
287,3,28,BrunoMiguelBorgesFernandes,5.213885698436588,3.0,1,62.0,player,11.5
288,3,28,EmilianoMartínez,5.461547767072028,1.0,7,62.0,player,5.4
289,2,28,HarryKane,13.548294195654481,4.0,6,62.0,player,11.5
290,4,28,MattTargett,4.5220152690161335,2.0,7,62.0,player,5.1
291,3,28,MohamedSalah,4.826159248390368,3.0,14,62.0,player,12.4
292,2,28,NealMaupay,8.436047503779308,4.0,36,62.0,player,6.1
293,5,28,OllieWatkins,11.435258260978975,4.0,7,62.0,player,6.6
294,3,28,RaphaelDiasBelloli,5.263164596699778,3.0,2,62.0,player,5.6
295,6,28,StuartDallas,4.048668429243809,2.0,2,62.0,player,5.1
296,11,28,IllanMeslier,4.32806772918602,1.0,2,62.0,sub,4.6
297,12,28,JoãoPedroCavacoCancelo,3.5162134822955755,2.0,43,62.0,sub,6.1
298,2,28,TomasSoucek,4.0668688477079185,3.0,21,62.0,sub,5.3
299,2,28,VladimirCoufal,3.547317825541361,2.0,21,62.0,sub,4.6
300,0,29,AndrewRobertson,4.307870510297902,2.0,14,16.0,player,7.1
301,0,29,BrunoMiguelBorgesFernandes,6.95184759791545,3.0,1,16.0,player,11.5
302,0,29,DominicCalvertLewin,10.803384457055456,4.0,11,16.0,player,7.6
303,1,29,EmilianoMartínez,5.2992742529058745,1.0,7,16.0,player,5.4
304,0,29,HarryMaguire,4.164204527485852,2.0,1,16.0,player,5.5
305,0,29,JamieVardy,11.03171744463272,4.0,13,16.0,player,10.1
306,0,29,MasonMount,5.026113425690738,3.0,8,16.0,player,7.0
307,0,29,MattTargett,4.4476311723155035,2.0,7,16.0,player,5.1
308,0,29,MohamedSalah,6.518540055884611,3.0,14,16.0,player,12.4
309,2,29,OllieWatkins,11.175451539328613,4.0,7,16.0,player,6.6
310,8,29,RaphaelDiasBelloli,5.280167653159731,3.0,2,16.0,player,5.7
311,3,29,IllanMeslier,4.28940410681388,1.0,2,16.0,sub,4.6
312,0,29,LukeShaw,3.982008790107992,2.0,1,16.0,sub,5.2
313,0,29,PedroLombaNeto,4.824844356214912,3.0,39,16.0,sub,5.7
314,2,29,StuartDallas,3.9322128201525928,2.0,2,16.0,sub,5.1
315,6,3,DominicCalvertLewin,6.775838745341168,4.0,11,97.0,player,7.4
316,5,3,HarryKane,6.465109992189202,4.0,6,97.0,player,10.5
317,2,3,HarveyBarnes,5.743872779974987,3.0,13,97.0,player,7.0
318,8,3,JackGrealish,6.674375683536125,3.0,7,97.0,player,7.0
319,1,3,JamesJustin,3.5115573886336566,2.0,13,97.0,player,4.7
320,10,3,JohnMcGinn,5.9852768456990875,3.0,7,97.0,player,5.5
321,8,3,KarlDarlow,4.592491733381788,1.0,4,97.0,player,5.0
322,5,3,MohamedSalah,9.392359077076263,3.0,14,97.0,player,12.1
323,1,3,ReeceJames,4.521525598102231,2.0,8,97.0,player,5.1
324,7,3,SadioMané,7.704837808356513,3.0,14,97.0,player,11.9
325,12,3,TyroneMings,5.244263399404791,2.0,7,97.0,player,5.0
326,12,3,ArthurMasuaku,2.8764024558731567,2.0,21,97.0,sub,4.5
327,10,3,IllanMeslier,2.9941333401505634,1.0,2,97.0,sub,4.5
328,2,3,JimmyDunne,2.8789248303955053,2.0,90,97.0,sub,4.0
329,8,3,PatrickBamford,3.97097391067428,4.0,2,97.0,sub,5.8
330,15,4,AaronCresswell,4.4431480700717225,2.0,21,162.0,player,4.9
331,-1,4,AndrewRobertson,4.319687390996588,2.0,14,162.0,player,7.0
332,6,4,DominicCalvertLewin,6.16397461057278,4.0,11,162.0,player,7.6
333,16,4,HarryKane,7.066626716649593,4.0,6,162.0,player,10.6
334,18,4,HeungMinSon,6.802021027955173,3.0,6,162.0,player,9.0
335,24,4,JackGrealish,7.4950019902817875,3.0,7,162.0,player,7.0
336,18,4,JamesRodríguez,5.590486588432021,3.0,11,162.0,player,7.8
337,2,4,KarlDarlow,3.9161144744740533,1.0,4,162.0,player,5.0
338,13,4,MohamedSalah,9.115404494855477,3.0,14,162.0,player,12.2
339,19,4,OllieWatkins,5.673602241444132,4.0,7,162.0,player,5.9
340,1,4,TyroneMings,3.930162372335787,2.0,7,162.0,player,5.0
341,9,4,AlexMcCarthy,2.989203724513972,1.0,20,162.0,sub,4.5
342,6,4,ArthurMasuaku,3.0735071537201857,2.0,21,162.0,sub,4.5
343,5,4,KyleWalkerPeters,3.024520467975175,2.0,20,162.0,sub,4.5
344,11,4,OriolRomeuVidal,3.0642047246781563,3.0,20,162.0,sub,4.5
345,5,5,AaronCresswell,4.189375973938787,2.0,21,95.0,player,5.0
